topic,rank,term,weight
0,1,korban,0.012798524461686611
0,2,temu,0.00979260727763176
0,3,aman,0.007944141514599323
0,4,tangkap,0.007590977009385824
0,5,jalan,0.007502217311412096
0,6,polisi,0.007237826008349657
0,7,hingga,0.006875527556985617
0,8,orang,0.006604090332984924
0,9,hasil,0.006532107014209032
0,10,duga,0.0061902753077447414
0,11,tugas,0.006104246247559786
0,12,lalu,0.005770690273493528
0,13,jumlah,0.00550597021356225
0,14,milik,0.0054747783578932285
0,15,lokasi,0.0054015545174479485
1,1,lebih,0.011017974466085434
1,2,sehat,0.009584832936525345
1,3,makan,0.008476495742797852
1,4,persen,0.006480054929852486
1,5,banyak,0.006474162917584181
1,6,hingga,0.0062819793820381165
1,7,beras,0.005970676429569721
1,8,utama,0.005731768440455198
1,9,tinggi,0.00553336413577199
1,10,besar,0.00549712311476469
1,11,milik,0.005409835837781429
1,12,turun,0.005217510275542736
1,13,tingkat,0.0049370513297617435
1,14,baik,0.004894652403891087
1,15,masyarakat,0.0048567452467978
2,1,baru,0.010007355362176895
2,2,hingga,0.009471115656197071
2,3,ikut,0.007797666825354099
2,4,buat,0.006923759821802378
2,5,tampil,0.006731119472533464
2,6,film,0.005995851941406727
2,7,sama,0.005923113785684109
2,8,mulai,0.005899061448872089
2,9,lebih,0.0057361978106200695
2,10,rasa,0.005148040596395731
2,11,kenal,0.005032544955611229
2,12,lama,0.004766637925058603
2,13,kota,0.004731400869786739
2,14,tulis,0.0046921889297664165
2,15,sangat,0.004500183276832104
3,1,psi,0.022383302450180054
3,2,politik,0.021272659301757812
3,3,partai,0.021044904366135597
3,4,sejarah,0.017715198919177055
3,5,jokowi,0.017166873440146446
3,6,ketua_umum,0.014951270073652267
3,7,pimpin,0.014272429049015045
3,8,kaesang,0.013816011138260365
3,9,pilih,0.013521530665457249
3,10,jabat,0.010352111421525478
3,11,bangsa,0.008976917713880539
3,12,tulis,0.008498385548591614
3,13,suara,0.008003429509699345
3,14,dukung,0.007906830869615078
3,15,juang,0.007583580911159515
4,1,perintah,0.02042675018310547
4,2,negara,0.007159198168665171
4,3,soal,0.007036120165139437
4,4,masuk,0.006908808834850788
4,5,kait,0.00644295196980238
4,6,baik,0.006361163221299648
4,7,nasional,0.005980410613119602
4,8,jalan,0.005909747909754515
4,9,atur,0.005902208387851715
4,10,kerja,0.005629970226436853
4,11,kalau,0.005372082348912954
4,12,nilai,0.0052485838532447815
4,13,bijak,0.005212589167058468
4,14,perlu,0.005171435419470072
4,15,bangun,0.005110427737236023
5,1,prabowo,0.030569540336728096
5,2,hadir,0.018274221569299698
5,3,temu,0.017434952780604362
5,4,negara,0.015254839323461056
5,5,sama,0.009737605229020119
5,6,solo,0.009644799865782261
5,7,langsung,0.009527776390314102
5,8,acara,0.009507086127996445
5,9,kunjung,0.009415041655302048
5,10,sambut,0.008926580660045147
5,11,dunia,0.00883469358086586
5,12,presiden,0.008619455620646477
5,13,lihat,0.00831315852701664
5,14,datang,0.008160296827554703
5,15,diri,0.006673995405435562
6,1,kapal,0.026617344468832016
6,2,laut,0.024363746866583824
6,3,gaza,0.017389580607414246
6,4,israel,0.016951825469732285
6,5,selamat,0.01653927005827427
6,6,balap,0.013404150493443012
6,7,trump,0.012894107960164547
6,8,akhir,0.011115921661257744
6,9,jatuh,0.01068020798265934
6,10,evakuasi,0.008887317962944508
6,11,temu,0.008779319003224373
6,12,marc_marquez,0.008531135506927967
6,13,posisi,0.00817776471376419
6,14,cari,0.007311437278985977
6,15,nyata,0.0072019463405013084
7,1,iran,0.032848652452230453
7,2,serang,0.023252034559845924
7,3,israel,0.022624755278229713
7,4,as,0.018416790291666985
7,5,wilayah,0.017388392239809036
7,6,lapor,0.013449389487504959
7,7,rusia,0.012039494700729847
7,8,militer,0.010882826521992683
7,9,pesawat,0.010192560032010078
7,10,negara,0.00955184455960989
7,11,besar,0.009159553796052933
7,12,perang,0.008099568076431751
7,13,tahan,0.007868302054703236
7,14,wni,0.0072743576020002365
7,15,beberapa,0.006854010280221701
8,1,polri,0.01706612855195999
8,2,masyarakat,0.016856679692864418
8,3,agama,0.010320487432181835
8,4,negara,0.00899970531463623
8,5,tindak,0.007969841361045837
8,6,nyata,0.007893204689025879
8,7,aman,0.007653007283806801
8,8,aksi,0.00735885975882411
8,9,jaga,0.007219493854790926
8,10,dukung,0.007176443934440613
